timestamp,model,epochs,optimizer,lr,train_loss_last,val_psnr_last
2025-12-23 18:07:22,SRCNN,10,Adam,0.001,0.005484425685608585,31.1796675920486452025-12-23 20:31:37,SRCNN,10,Adam,0.001,0.0077641335665248334,26.959474563598633
2025-12-23 21:05:56,SRCNN(batch:16),10,Adam,0.001,0.006091723858844489,28.4864501953125
2025-12-24 01:18:35,SRCNN,10,Adam,0.001,0.001233349452377297,12.12637460231781
2025-12-24 02:12:08,SRCNN,10,Adam,0.001,0.001914783744723536,28.48621702194214
2025-12-24 03:04:56,DnCNN,10,Adam,0.001,0.012423262116499245,34.66104018688202
2025-12-24 10:21:36,DnCNN,10,Adam,0.001,0.013523710891604424,35.82401764392853
2025-12-24 16:12:56,DnCNN,20,Adam,0.0001,0.03703454602509737,26.073083758354187
2025-12-24 18:05:20,DnCNN,20,Adam,0.001,0.037053014151751995,25.230993509292603
2025-12-24 21:29:17,DnCNN,10,Adam,0.001,0.03928552649449557,27.669828295707703
2025-12-26 03:43:12,DIDN,20,Adam,0.001,0.01345894200494513,33.66596961021423
2026-01-30 20:19:11,DIDN,10,Adam,0.0001,0.0112300389300799,38.76899313926697
2026-01-31 04:36:27,DuDnCNN,20,Adam,0.0001,0.00950306530285161,39.553618133068085
